location,name,landmark_id,landmark_address,description,detailed_description,image,latitude,longitude,rating,review,landmark_type
Amsterdam,Marchanthof,1008173a-c181-411c-b7c6-d193c57031b2,,,,,52.379707,4.798147,,,Neighborhood
Amsterdam,Het Land Der Blinden,07cdfc79-d3b4-4d7c-b660-24bddadb4270,,,,,52.37915421,4.798762798,,,Scenic Lookout
Amsterdam,Logeerkamer,108eef37-7861-4943-bb24-7cf2d5d6427a,,,,,52.37927246,4.79873991,,,Nightlife Spot
Amsterdam,vieze frank's,4e0fe0df-8c0e-49a7-a7dc-577c6cad4b0b,,,,,52.38218689,4.800715446,,,Hookah Bar
Amsterdam,Sam van Houtenstraat,41e539db-ba81-4106-85fe-4e85bb7b2a81,,,,,52.3760459,4.796629631,,,Home (private)
Amsterdam,Rick's Bedroom,8efbdc07-6577-44f9-89b8-772670eb3fb8,,,,,52.377605,4.798647,,,Lounge
Amsterdam,Geuzenveld,80e51d89-05ed-4e2e-9431-d7f70e9bc577,,,,,52.3783238,4.801626205,,,Neighborhood
Amsterdam,T.v. Osdorp,5fb1e66e-811d-4b52-baa5-f60b49aaf99d,,,,,52.369403,4.795916453,,,Other Great Outdoors
Amsterdam,"Lambertus Zijlplein, amsterdam",f797571f-21a5-47ad-a82a-45643d82d378,,,,,52.37758327,4.801935152,,,Plaza
Amsterdam,GolfClub Ookmeer,471d1c48-fd4d-464e-8c44-10ed899aa1b2,,,,,52.3717594,4.797298981,,,Golf Course
